"","gene_id","gene_short_name","gene_name","X4","chromosome","start","end","X8","X9","X10","X11","WT_mean_FPKM","WT_se_FPKM","Ref5_mean_FPKM","Ref5_se_FPKM","Ref2_mean_FPKM","Ref2_se_FPKM","Med5_mean_FPKM","Med5_se_FPKM","Ref5Med5_mean_FPKM","Ref5Med5_se_FPKM","Ref2Med5_mean_FPKM","Ref2Med5_se_FPKM"
"225","AT5G20830","SUS1","sucrose synthase 1",5182,"Chr5",7050217,7055398,"sucrose synthase 1;(source:Araport11)","Encodes a protein with sucrose synthase activity (SUS1).","sucrose synthase 1","ASUS1, atsus1, SUS1",10.691,0.544,17.746,0.484,12.738,0.688,14.506,0.999,18.447,1.389,9.847,0.598
"226","AT5G22860","AT5G22860","",4095,"Chr5",7639076,7643170,"Serine carboxypeptidase S28 family protein;(source:Araport11)","","Serine carboxypeptidase S28 family protein","",8.391,0.161,15.558,1.614,9.576,0.972,4.417,0.296,6.336,0.724,5.55,0.18
"227","AT5G23830","AT5G23830","",1313,"Chr5",8033665,8034977,"MD-2-related lipid recognition domain-containing protein;(source:Araport11)","","MD-2-related lipid recognition domain-containing protein","",0.328,0.132,1.17,0.284,0.385,0.106,0.226,0.108,0.772,0.08,0.187,0.023
"228","AT5G24030","SLAH3","SLAC1 homologue 3",4598,"Chr5",8118317,8122914,"SLAC1 homologue 3;(source:Araport11)","Encodes a protein with ten predicted transmembrane helices. The SLAH3 protein has similarity to the SLAC1 protein involved in ion homeostasis in guard cells. Although it is not expressed in guard cells, it can complement an slac1-2 mutant suggesting that it performs a similar function. SLAH3:GFP localizes to the plasma membrane.","SLAC1 homologue 3","SLAH3",5.045,0.491,8.978,0.429,5.929,0.506,5.548,0.266,8.17,0.577,4.216,0.229
"229","AT5G24120","SIGE","sigma factor E",3193,"Chr5",8157151,8160343,"sigma factor E;(source:Araport11)","Encodes a specialized sigma factor that functions in regulation of plastid genes  and is responsible for the light-dependent transcription at the psbD LRP. Activation of SIG5 is dependent upon blue light and mediated by cryptochromes.","sigma factor E","ATSIG5, SIG5, SIGE",46.46,1.596,76.041,2.747,46.782,2.584,36.094,2.147,51.667,2.778,36.56,1.281
"230","AT5G26260","AT5G26260","",2191,"Chr5",9200271,9202461,"TRAF-like family protein;(source:Araport11)","","TRAF-like family protein","",1.21,0.867,6.613,0.14,0.885,0.128,0.585,0.159,4.163,0.414,1.308,0.226
"231","AT5G28030","DES1","L-cysteine desulfhydrase 1",3331,"Chr5",10029632,10032962,"L-cysteine desulfhydrase 1;(source:Araport11)","Encodes a novel l-cysteine desulfhydrase involved in cysteine homeostasis that catalyzes the desulfuration of Cys, instead of the synthesis of Cys like the OASTL, to produce sulfide plus ammonia and pyruvate.","L-cysteine desulfhydrase 1","DES1",12.304,1.313,21.188,1.188,15.622,1.142,8.294,1.063,12.278,0.568,10.258,0.713
"232","AT5G28490","LSH1","LIGHT-DEPENDENT SHORT HYPOCOTYLS 1",1294,"Chr5",10454388,10455681,"LIGHT-DEPENDENT SHORT HYPOCOTYLS-like protein (DUF640);(source:Araport11)","Encodes a nuclear protein that mediates light regulation of seedling development in a phytochrome-dependent manner.","Protein of unknown function (DUF640)","LSH1, OBO2",4.921,0.181,10.418,0.412,5.375,0.372,5.746,0.471,9.34,0.849,5.16,0.158
"233","AT5G37478","AT5G37478","",2579,"Chr5",14881416,14883994,"TPX2 (targeting protein for Xklp2) protein family;(source:Araport11)","","TPX2 (targeting protein for Xklp2) protein family","",0.196,0.05,0.713,0.245,0.249,0.042,0.225,0.036,0.796,0.111,0.495,0.122
"234","AT5G38030","AT5G38030","",4424,"Chr5",15171143,15175566,"MATE efflux family protein;(source:Araport11)","","MATE efflux family protein","",0.094,0.055,0.71,0.182,0.157,0.016,0.007,0.007,1.058,0.093,0.061,0.02
"235","AT5G38200","AT5G38200","",2572,"Chr5",15256243,15258814,"Class I glutamine amidotransferase-like superfamily protein;(source:Araport11)","","Class I glutamine amidotransferase-like superfamily protein","",1.517,0.13,2.691,0.23,0.961,0.102,0.866,0.113,3.24,0.329,1.262,0.218
"236","AT5G39120","AT5G39120","",946,"Chr5",15662582,15663527,"RmlC-like cupins superfamily protein;(source:Araport11)","","RmlC-like cupins superfamily protein","",0,0,0.43,0.164,0.017,0.017,0,0,0.568,0.204,0.023,0.023
"237","AT5G39590","AT5G39590","",2602,"Chr5",15851389,15853990,"TLD-domain containing nucleolar protein;(source:Araport11)","","TLD-domain containing nucleolar protein","OXR5",35.107,0.259,46.156,1.06,34.51,1.661,34.206,0.873,41.838,1.753,33.017,0.207
"238","AT5G43780","APS4","",2344,"Chr5",17589394,17591737,"Pseudouridine synthase/archaeosine transglycosylase-like family protein;(source:Araport11)","sulfate adenylyltransferase, ATP sulfurylase","Pseudouridine synthase/archaeosine transglycosylase-like family protein","APS4, ATPS4",11.738,1.147,19.05,0.917,12.728,2.31,12.069,0.786,24.707,0.358,12.78,0.651
"239","AT5G44380","AT5G44380","",2824,"Chr5",17878672,17881495,"FAD-binding Berberine family protein;(source:Araport11)","","FAD-binding Berberine family protein","AtBBE28",0.352,0.094,3.255,0.68,0.353,0.007,0.24,0.086,4.324,0.297,0.263,0.115
"240","AT5G45350","AT5G45350","",2271,"Chr5",18381799,18384069,"proline-rich family protein;(source:Araport11)","","proline-rich family protein","",49.05,3.732,75.033,3.005,48.995,1.007,55.463,2.612,74.478,2.505,48.56,0.967
"241","AT5G47370","HAT2","",1737,"Chr5",19216271,19218007,"Homeobox-leucine zipper protein 4 (HB-4) / HD-ZIP protein;(source:Araport11)","homeobox-leucine zipper genes induced by auxin, but not by other phytohormones.  Plays opposite roles in the shoot and root tissues in regulating auxin-mediated morphogenesis.","Homeobox-leucine zipper protein 4 (HB-4) / HD-ZIP protein","HAT2",23.967,0.722,30.463,1.261,15.763,0.565,23.896,0.415,33.041,1.147,18.968,0.304
"242","AT5G47550","AT5G47550","",866,"Chr5",19286314,19287179,"Cystatin/monellin superfamily protein;(source:Araport11)","Putative phytocystatin expressed in seedlings and induced by heat stress and abscisic acid. Overexpression increases germination rate and heat stress tolerance. CYS5 is a target of ABF1 and ABF3 transcriptional regulators which bind to its promoter.","Cystatin/monellin superfamily protein","CYS5",20.303,0.661,33.009,2.775,19.034,3.182,17.906,1.702,36.901,1.488,17.604,1.065
"243","AT5G47560","TDT","tonoplast dicarboxylate transporter",3735,"Chr5",19287369,19291103,"tonoplast dicarboxylate transporter;(source:Araport11)","Encodes a tonoplast malate/fumarate transporter.","tonoplast dicarboxylate transporter","ATSDAT, ATTDT, TDT",45.127,1.858,66.247,0.848,39.002,2.681,43.991,4.294,65.449,4.991,45.304,1.714
"244","AT5G48000","CYP708A2","cytochrome P450, family 708, subfamily A, polypeptide 2",3764,"Chr5",19444103,19447866,"cytochrome P450, family 708, subfamily A, polypeptide 2;(source:Araport11)","Encodes a member of the CYP708A family of cytochrome P450 enzymes. THAH appears to add a hydroxyl group to the triterpene thalianol. thah1 mutants have an elevated accumulation of thalianol. thah1-1 mutants have longer roots than wild type plants. Thalian-diol and desaturated thalian-diol are lost from the root extracts of thah1-1 mutants. Overexpression of the sequence from At5g48000.1 rescues the thah1-1 mutant phenotype (Field 2008); it is unknown whether the shorter sequences associated with other gene models would provide functional complementation.","cytochrome P450, family 708, subfamily A, polypeptide 2","CYP708 A2, CYP708A2, THAH, THAH1",0.092,0.002,0.481,0.043,0.119,0.077,0.031,0.031,0.873,0.036,0.13,0.01
"245","AT5G48010","THAS1","thalianol synthase 1",4870,"Chr5",19456837,19461706,"thalianol synthase 1;(source:Araport11)","Encodes an oxidosqualene cyclase involved in the  biosynthesis of thalianol, a tricyclic triterpenoid of unknown function. Overexpression of THAS leads to dwarfing in the aerial tissues of Arabidopsis plants, but increases their root length. THAS is part of a small operon-like cluster of genes (with At5g48000 (THAH) and At5g47990 (THAD)) involved in thalianol metabolism.","thalianol synthase 1","AtTHAS1, THAS, THAS1",0.062,0.032,0.393,0.1,0.048,0.023,0.007,0.007,0.652,0.024,0.062,0.038
"246","AT5G50260","CEP1","cysteine endopeptidase 1",1752,"Chr5",20455317,20457068,"Cysteine proteinases superfamily protein;(source:Araport11)","Encodes a papain-like cysteine protease involved in tapetal programmed cell death and pollen development.CEP1 is expressed specifically in the tapetum from stages 5 to 11 of anther development. The CEP1 protein first appears as a proenzyme in precursor protease vesicles, and is then transported to the vacuole and transformed into the mature enzyme before rupture of the vacuole. CEP1 was also released to the tapetal cell wall during late stage 6 and stage 7. After the tapetal cell wall degenerated, the CEP1 enzyme entered the callose wall from the degenerated tapetal cell wall and was probably involved in degeneration of the callose wall.","Cysteine proteinases superfamily protein","CEP1",0.167,0.029,0.721,0.142,0.233,0.053,0.156,0.024,1.384,0.155,0.301,0.05
"247","AT5G52390","AT5G52390","",1564,"Chr5",21263897,21265460,"PAR1 protein;(source:Araport11)","","PAR1 protein","",0.606,0.533,3.261,0.155,2.236,0.538,0.473,0.081,3.645,0.769,1.407,0.692
"248","AT5G52830","WRKY27","WRKY DNA-binding protein 27",1758,"Chr5",21410769,21412526,"WRKY DNA-binding protein 27;(source:Araport11)","Encodes a WRKY transcription factor WRKY27.  Mutation in Arabidopsis WRKY27 results in delayed symptom development in response to the bacterial wilt pathogen Ralstonia solanacearum.","WRKY DNA-binding protein 27","ATWRKY27, WRKY27",2.452,0.208,3.864,0.198,2.771,0.348,1.617,0.262,3.543,0.122,2.035,0.262
"249","AT5G53870","ENODL1","early nodulin-like protein 1",1618,"Chr5",21869774,21871391,"early nodulin-like protein 1;(source:Araport11)","","early nodulin-like protein 1","AtENODL1, ENODL1",0.564,0.101,1.174,0.158,0.578,0.038,0.624,0.138,1.419,0.336,0.616,0.071
"250","AT5G53970","TAT7","tyrosine aminotransferase 7",2339,"Chr5",21910471,21912809,"Tyrosine transaminase family protein;(source:Araport11)","Encodes a cytosolic tyrosine aminotransferase which is strongly induced upon aging and coronatine treatment. AtTAT1 prefers Tyr as an amino donor but can also use Phe, Trp, His, Met, and Leu. The mRNA is cell-to-cell mobile.","Tyrosine transaminase family protein","AtTAT1, TAT1, TAT7",25.204,0.574,31.952,2.836,26.619,0.955,21.555,0.056,28.115,1.325,20.808,0.837
"251","AT5G53980","HB52","homeobox protein 52",984,"Chr5",21913883,21914866,"homeobox protein 52;(source:Araport11)","Encodes a homeodomain leucine zipper class I (HD-Zip I) protein.","homeobox protein 52","ATHB52, HB52",0.236,0.045,1.078,0.054,0.346,0.146,0.251,0.088,1.195,0.439,0.734,0.051
"252","AT5G53990","AT5G53990","",1758,"Chr5",21915468,21917225,"UDP-Glycosyltransferase superfamily protein;(source:Araport11)","","UDP-Glycosyltransferase superfamily protein","",0.008,0.008,0.196,0.062,0.024,0.014,0,0,0.318,0.077,0.028,0.016
"253","AT5G54230","MYB49","myb domain protein 49",1919,"Chr5",22016143,22018061,"myb domain protein 49;(source:Araport11)","Encodes a putative transcription factor (MYB49).","myb domain protein 49","AtMYB49, MYB49",0.023,0.011,0.201,0.086,0.019,0.019,0.026,0.013,0.261,0.085,0.1,0.011
"254","AT5G55250","IAMT1","IAA carboxylmethyltransferase 1",3548,"Chr5",22407427,22410974,"IAA carboxylmethyltransferase 1;(source:Araport11)","Encodes an enzyme which specifically converts IAA to its methyl ester form MelIAA. This gene belongs to the family of carboxyl methyltransferases whose members  catalyze the transfer of the methyl group from S-adenosyl-L-methionine to carboxylic acid-containing substrates to form small molecule methyl esters. Expression of TCP genes is downregulated in mutant iamt1-D.","IAA carboxylmethyltransferase 1","AtIAMT1, IAMT1",2.154,0.063,3.84,0.007,1.974,0.284,2.205,0.097,4.525,0.605,2.222,0.047
"255","AT5G57810","TET15","tetraspanin15",1380,"Chr5",23424268,23425647,"tetraspanin15;(source:Araport11)","Member of TETRASPANIN family","tetraspanin15","TET15",0.17,0.01,0.663,0.048,0.045,0.015,0.194,0.037,0.523,0.028,0.105,0.051
"256","AT5G58860","CYP86A1","cytochrome P450, family 86, subfamily A, polypeptide 1",2321,"Chr5",23765791,23768111,"cytochrome P450, family 86, subfamily A, polypeptide 1;(source:Araport11)","Encodes a member of the CYP86A subfamily of cytochrome p450 genes.  Expressed significantly only in root tissue.","cytochrome P450, family 86, subfamily A, polypeptide 1","CYP86, CYP86A1, HORST",0.215,0.06,0.869,0.173,0.461,0.154,0.167,0.051,1.78,0.088,0.517,0.109
"257","AT5G59320","LTP3","lipid transfer protein 3",863,"Chr5",23928954,23929816,"lipid transfer protein 3;(source:Araport11)","Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the lipid transfer protein (PR-14) family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15. The mRNA is cell-to-cell mobile.","lipid transfer protein 3","LTP3",2.727,0.287,10.317,1.337,2.06,0.339,0.982,0.037,6.085,1.304,3.111,0.299
"258","AT5G59540","AT5G59540","",1972,"Chr5",23995850,23997821,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11)","","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","",42.398,0.573,54.456,2.185,50.053,1.477,42.914,0.797,52.066,0.92,51.09,2.453
"259","AT5G60120","TOE2","target of early activation tagged (EAT) 2",4055,"Chr5",24207689,24211743,"target of early activation tagged (EAT) 2;(source:Araport11)","","target of early activation tagged (EAT) 2","TOE2",10.14,0.299,15.145,1.091,11.078,0.305,9.415,1.214,12.387,0.29,10.89,0.386
"260","AT5G60360","ALP","aleurain-like protease",2823,"Chr5",24279660,24282482,"aleurain-like protease;(source:Araport11)","Encodes a senescence-associated thiol protease. The mRNA is cell-to-cell mobile.","aleurain-like protease","AALP, ALP, SAG2",183.781,5.219,237.665,13.454,212.03,13.149,183.092,5.413,241.684,6.987,206.129,9.957
"261","AT5G63560","FACT","FATTY ALCOHOL:CAFFEOYL-CoA CAFFEOYL TRANSFERASE",2109,"Chr5",25449311,25451419,"HXXXD-type acyl-transferase family protein;(source:Araport11)","","HXXXD-type acyl-transferase family protein","FACT",0.095,0.024,0.654,0.139,0.21,0.06,0.065,0.051,0.701,0.05,0.04,0.027
"262","AT5G63600","FLS5","flavonol synthase 5",1978,"Chr5",25460591,25462568,"flavonol synthase 5;(source:Araport11)","encodes a protein whose sequence is similar to flavonol synthase","flavonol synthase 5","ATFLS5, FLS5",0.009,0.009,0.152,0.081,0,0,0,0,0.108,0.003,0.011,0.011
"263","AT5G63800","MUM2","MUCILAGE-MODIFIED 2",5835,"Chr5",25530055,25535889,"Glycosyl hydrolase family 35 protein;(source:Araport11)","Involved in mucilage formation. Mutants form columella and outer cell wall architecture of the mucilage cells resembles wild-type. However, mum2 seeds completely lack seed coat mucilage. This mutation appears to represent a later step in the development of this cell-type. Encodes a beta-galactosidase involved in seed coat mucilage biosynthesis. Member of Glycoside Hydrolase Family 35","Glycosyl hydrolase family 35 protein","BGAL6, MUM2",34.876,0.617,46.73,4.138,29.506,1.159,33.194,1.174,42.959,3.429,29.482,1.777
"264","AT5G64770","RGF9","root meristem growth factor 9",851,"Chr5",25897321,25898171,"root meristem growth factor;(source:Araport11)","Encodes a root meristem growth factor (RGF).  Belongs to a family of functionally redundant homologous peptides that are secreted, tyrosine-sulfated, and expressed mainly in the stem cell area and the innermost layer of central columella cells. RGFs are required for maintenance of the root stem cell niche and transit amplifying cell proliferation.  Members of this family include: At5g60810 (RGF1), At1g13620 (RGF2), At2g04025 (RGF3), At3g30350 (RGF4), At5g51451 (RGF5), At4g16515 (RGF6), At3g02240 (RGF7), At2g03830 (RGF8) and At5g64770 (RGF9).","","CLEL 9, GLV2, RGF9",212.523,10.996,329.367,41.556,178.452,17.535,196.039,14.218,285.561,33.978,243.329,14.582
"265","AT5G65170","AT5G65170","",2223,"Chr5",26041045,26043267,"VQ motif-containing protein;(source:Araport11)","","VQ motif-containing protein","",1.702,0.155,2.641,0.033,1.952,0.197,1.975,0.187,3.037,0.192,1.905,0.223
"266","AT5G65320","AT5G65320","",1558,"Chr5",26107169,26108726,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein;(source:Araport11)","","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","",0.931,0.048,1.766,0.097,0.746,0.098,0.964,0.099,1.858,0.113,0.965,0.132
"267","AT5G65670","IAA9","indole-3-acetic acid inducible 9",3137,"Chr5",26253408,26256544,"indole-3-acetic acid inducible 9;(source:Araport11)","auxin (indole-3-acetic acid) induced gene The mRNA is cell-to-cell mobile.","indole-3-acetic acid inducible 9","IAA9",107.234,2.875,145.543,7.071,117.091,3.241,120.245,0.647,152.274,4.161,121.863,2.153
"268","AT5G65683","WAVH2","WAV3 homolog 2",3035,"Chr5",26261136,26264170,"Zinc finger (C3HC4-type RING finger) family protein;(source:Araport11)","","Zinc finger (C3HC4-type RING finger) family protein","WAVH2",10.003,0.121,13.012,0.715,9.62,0.772,11.857,0.578,16.816,0.881,9.795,0.561
"269","AT5G65990","AT5G65990","",1691,"Chr5",26394823,26396513,"Transmembrane amino acid transporter family protein;(source:Araport11)","","Transmembrane amino acid transporter family protein","AtAVT3",14.603,1.125,21.952,2.298,15.371,1.323,14.393,0.709,18.943,1.25,12.87,0.508
"270","AT5G66040","STR16","sulfurtransferase protein 16",1012,"Chr5",26410344,26411355,"sulfurtransferase protein 16;(source:Araport11)","Encodes a protein with thiosulfate sulfurtransferase/rhodanese activity  in vitro, however, it is likely to use a substrate other than thiosulfate or 3-mercaptopyruvate in vivo. The mRNA is cell-to-cell mobile.","sulfurtransferase protein 16","STR16",95.874,2.407,123.973,3.37,81.621,2.182,92.646,4.936,148.718,6.818,115.854,1.924
"271","AT5G66400","RAB18","RESPONSIVE TO ABA 18",1171,"Chr5",26518277,26519447,"Dehydrin family protein;(source:Araport11)","Belongs to the dehydrin protein family, which contains highly conserved stretches of 7-17 residues that are repetitively scattered in their sequences, the K-, S-, Y- and lysine rich segments. ABA- and drought-induced glycine-rice dehydrin protein.  The ABA-induced expression of RAB18 was reduced following ACC application, indicating that ethylene inhibits the ABA signaling pathway.  RAB18 is also expressed in response to the formation of the phospholipid diacylglycerol pyrophosphate. COR47 and RAB18 double overexpressor plants are cold tolerant. Expressed in guard cells.","Dehydrin family protein","ATDI8, RAB18",7.598,1.129,16.786,2.242,4.559,0.535,5.44,0.953,10.352,1.496,4.374,0.235
